x_true 	 x_rec 
1.437980e-05 	 1.437980e-05
1.573934e-05 	 1.573934e-05
1.715402e-05 	 1.715402e-05
1.862274e-05 	 1.862274e-05
2.014433e-05 	 2.014433e-05
2.171759e-05 	 2.171759e-05
2.334128e-05 	 2.334128e-05
2.501409e-05 	 2.501409e-05
2.673467e-05 	 2.673467e-05
2.850163e-05 	 2.850163e-05
3.031352e-05 	 3.031352e-05
3.216883e-05 	 3.216883e-05
3.406602e-05 	 3.406602e-05
3.600350e-05 	 3.600350e-05
3.797963e-05 	 3.797963e-05
3.999270e-05 	 3.999270e-05
4.204098e-05 	 4.204098e-05
4.412268e-05 	 4.412268e-05
4.623595e-05 	 4.623595e-05
4.837890e-05 	 4.837890e-05
5.054960e-05 	 5.054960e-05
5.274606e-05 	 5.274606e-05
5.496624e-05 	 5.496624e-05
5.720805e-05 	 5.720805e-05
5.946936e-05 	 5.946936e-05
6.174799e-05 	 6.174799e-05
6.404170e-05 	 6.404170e-05
6.634821e-05 	 6.634821e-05
6.866518e-05 	 6.866518e-05
7.099024e-05 	 7.099024e-05
7.332096e-05 	 7.332096e-05
7.565486e-05 	 7.565486e-05
7.798941e-05 	 7.798941e-05
8.032203e-05 	 8.032203e-05
8.265010e-05 	 8.265010e-05
8.497094e-05 	 8.497094e-05
8.728183e-05 	 8.728183e-05
8.957999e-05 	 8.957999e-05
9.186261e-05 	 9.186261e-05
9.412681e-05 	 9.412681e-05
9.636966e-05 	 9.636966e-05
9.858821e-05 	 9.858821e-05
1.007794e-04 	 1.007794e-04
1.029402e-04 	 1.029402e-04
1.050676e-04 	 1.050676e-04
1.071582e-04 	 1.071582e-04
1.092089e-04 	 1.092089e-04
1.112165e-04 	 1.112165e-04
1.131776e-04 	 1.131776e-04
1.150889e-04 	 1.150889e-04
1.169469e-04 	 1.169469e-04
1.187482e-04 	 1.187482e-04
1.204893e-04 	 1.204893e-04
1.221666e-04 	 1.221666e-04
1.237766e-04 	 1.237766e-04
1.253155e-04 	 1.253155e-04
1.267796e-04 	 1.267796e-04
1.281653e-04 	 1.281653e-04
1.294687e-04 	 1.294687e-04
1.306859e-04 	 1.306859e-04
1.318130e-04 	 1.318130e-04
